"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","All ages estimate","2007","UNAIDS_Spectrum Estimates_","Number","175",""
"Afghanistan","All ages estimate","2006","UNAIDS_Spectrum Estimates_","Number","159",""
"Afghanistan","All ages estimate","2005","UNAIDS_Spectrum Estimates_","Number","145",""
"Afghanistan","All ages estimate","2004","UNAIDS_Spectrum Estimates_","Number","132",""
"Afghanistan","All ages estimate","2003","UNAIDS_Spectrum Estimates_","Number","120",""
"Afghanistan","All ages estimate","2002","UNAIDS_Spectrum Estimates_","Number","110",""
"Afghanistan","All ages estimate","2001","UNAIDS_Spectrum Estimates_","Number","99",""
"Afghanistan","All ages estimate","2000","UNAIDS_Spectrum Estimates_","Number","90",""
"Afghanistan","All ages estimate","1999","UNAIDS_Spectrum Estimates_","Number","81",""
"Afghanistan","All ages estimate","1998","UNAIDS_Spectrum Estimates_","Number","73",""
"Afghanistan","All ages estimate","1997","UNAIDS_Spectrum Estimates_","Number","65",""
"Afghanistan","All ages estimate","1996","UNAIDS_Spectrum Estimates_","Number","57",""
"Afghanistan","All ages estimate","1995","UNAIDS_Spectrum Estimates_","Number","49",""
"Afghanistan","All ages estimate","1994","UNAIDS_Spectrum Estimates_","Number","41",""
"Afghanistan","All ages estimate","1993","UNAIDS_Spectrum Estimates_","Number","34",""
"Afghanistan","All ages estimate","1992","UNAIDS_Spectrum Estimates_","Number","28",""
"Afghanistan","All ages estimate","1991","UNAIDS_Spectrum Estimates_","Number","22",""
"Afghanistan","All ages estimate","1990","UNAIDS_Spectrum Estimates_","Number","17",""
"Afghanistan","All ages lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","94",""
"Afghanistan","All ages lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","90",""
"Afghanistan","All ages lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","91",""
"Afghanistan","All ages lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","89",""
"Afghanistan","All ages lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","83",""
"Afghanistan","All ages lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","74",""
"Afghanistan","All ages lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","68",""
"Afghanistan","All ages lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","63",""
"Afghanistan","All ages lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","57",""
"Afghanistan","All ages lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","52",""
"Afghanistan","All ages lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","46",""
"Afghanistan","All ages lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","42",""
"Afghanistan","All ages lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","36",""
"Afghanistan","All ages lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","31",""
"Afghanistan","All ages lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","27",""
"Afghanistan","All ages lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","23",""
"Afghanistan","All ages lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","20",""
"Afghanistan","All ages lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","16",""
"Afghanistan","All ages lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","13",""
"Afghanistan","All ages lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","11",""
"Afghanistan","All ages lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","8",""
"Afghanistan","All ages lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","5",""
"Afghanistan","All ages lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","3",""
"Afghanistan","All ages upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","808",""
"Afghanistan","All ages upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","738",""
"Afghanistan","All ages upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","673",""
"Afghanistan","All ages upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","619",""
"Afghanistan","All ages upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","563",""
"Afghanistan","All ages upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","543",""
"Afghanistan","All ages upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","501",""
"Afghanistan","All ages upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","472",""
"Afghanistan","All ages upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","446",""
"Afghanistan","All ages upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","428",""
"Afghanistan","All ages upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","413",""
"Afghanistan","All ages upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","394",""
"Afghanistan","All ages upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","372",""
"Afghanistan","All ages upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","348",""
"Afghanistan","All ages upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","311",""
"Afghanistan","All ages upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","261",""
"Afghanistan","All ages upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","226",""
"Afghanistan","All ages upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","190",""
"Afghanistan","All ages upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","163",""
"Afghanistan","All ages upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","123",""
"Afghanistan","All ages upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","101",""
"Afghanistan","All ages upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","82",""
"Afghanistan","All ages upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","66",""
"Angola","Children (0-14) estimate","2012","UNAIDS_Spectrum Estimates_","Number","2602",""
"Angola","Children (0-14) estimate","2011","UNAIDS_Spectrum Estimates_","Number","2502",""
"Angola","Children (0-14) estimate","2010","UNAIDS_Spectrum Estimates_","Number","2386",""
"Angola","Children (0-14) estimate","2009","UNAIDS_Spectrum Estimates_","Number","2322",""
"Angola","Children (0-14) estimate","2008","UNAIDS_Spectrum Estimates_","Number","2272",""
"Angola","Children (0-14) estimate","2007","UNAIDS_Spectrum Estimates_","Number","2212",""
"Angola","Children (0-14) estimate","2006","UNAIDS_Spectrum Estimates_","Number","2153",""
"Angola","Children (0-14) estimate","2005","UNAIDS_Spectrum Estimates_","Number","2108",""
"Angola","Children (0-14) estimate","2004","UNAIDS_Spectrum Estimates_","Number","1992",""
"Angola","Children (0-14) estimate","2003","UNAIDS_Spectrum Estimates_","Number","1855",""
"Angola","Children (0-14) estimate","2002","UNAIDS_Spectrum Estimates_","Number","1706",""
"Angola","Children (0-14) estimate","2001","UNAIDS_Spectrum Estimates_","Number","1557",""
"Angola","Children (0-14) estimate","2000","UNAIDS_Spectrum Estimates_","Number","1412",""
"Angola","Children (0-14) estimate","1999","UNAIDS_Spectrum Estimates_","Number","1270",""
"Angola","Children (0-14) estimate","1998","UNAIDS_Spectrum Estimates_","Number","1134",""
"Angola","Children (0-14) estimate","1997","UNAIDS_Spectrum Estimates_","Number","1002",""
"Angola","Children (0-14) estimate","1996","UNAIDS_Spectrum Estimates_","Number","873",""
"Angola","Children (0-14) estimate","1995","UNAIDS_Spectrum Estimates_","Number","749",""
"Angola","Children (0-14) estimate","1994","UNAIDS_Spectrum Estimates_","Number","630",""
"Angola","Children (0-14) estimate","1993","UNAIDS_Spectrum Estimates_","Number","520",""
"Angola","Children (0-14) estimate","1992","UNAIDS_Spectrum Estimates_","Number","421",""
"Angola","Children (0-14) estimate","1991","UNAIDS_Spectrum Estimates_","Number","334",""
"Angola","Children (0-14) estimate","1990","UNAIDS_Spectrum Estimates_","Number","260",""
"Angola","Children (0-14) lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","1985",""
"Angola","Children (0-14) lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","1883",""
"Angola","Children (0-14) lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","1782",""
"Angola","Children (0-14) lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","1708",""
"Angola","Children (0-14) lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","1690",""
"Angola","Children (0-14) lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","1657",""
"Angola","Children (0-14) lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","1620",""
"Angola","Children (0-14) lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","1590",""
"Angola","Children (0-14) lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","1494",""
"Angola","Children (0-14) lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","1380",""
"Angola","Children (0-14) lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","1252",""
"Angola","Children (0-14) lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","1135",""
"Angola","Children (0-14) lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","1020",""
"Angola","Children (0-14) lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","904",""
"Angola","Children (0-14) lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","809",""
"Angola","Children (0-14) lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","708",""
"Angola","Children (0-14) lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","611",""
"Angola","Children (0-14) lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","516",""
"Angola","Children (0-14) lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","432",""
"Angola","Children (0-14) lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","355",""
"Angola","Children (0-14) lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","284",""
"Angola","Children (0-14) lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","223",""
"Angola","Children (0-14) lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","172",""
"Angola","Children (0-14) upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","3403",""
"Angola","Children (0-14) upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","3278",""
"Angola","Children (0-14) upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","3168",""
"Angola","Children (0-14) upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","3093",""
"Angola","Children (0-14) upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","3072",""
"Angola","Children (0-14) upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","3038",""
"Angola","Children (0-14) upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","2996",""
"Angola","Children (0-14) upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","2944",""
"Angola","Children (0-14) upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","2835",""
"Angola","Children (0-14) upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","2692",""
"Angola","Children (0-14) upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","2513",""
"Angola","Children (0-14) upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","2339",""
"Angola","Children (0-14) upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","2157",""
"Angola","Children (0-14) upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","1959",""
"Angola","Children (0-14) upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","1740",""
"Angola","Children (0-14) upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","1536",""
"Angola","Children (0-14) upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","1324",""
"Angola","Children (0-14) upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","1122",""
"Angola","Children (0-14) upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","946",""
"Angola","Children (0-14) upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","776",""
"Angola","Children (0-14) upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","623",""
"Angola","Children (0-14) upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","490",""
"Angola","Children (0-14) upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","377",""
"Angola","Adults (15+) estimate","2012","UNAIDS_Spectrum Estimates_","Number","9950",""
"Angola","Adults (15+) estimate","2011","UNAIDS_Spectrum Estimates_","Number","9382",""
"Angola","Adults (15+) estimate","2010","UNAIDS_Spectrum Estimates_","Number","8709",""
"Angola","Adults (15+) estimate","2009","UNAIDS_Spectrum Estimates_","Number","8404",""
"Angola","Adults (15+) estimate","2008","UNAIDS_Spectrum Estimates_","Number","8627",""
"Angola","Adults (15+) estimate","2007","UNAIDS_Spectrum Estimates_","Number","9103",""
"Angola","Adults (15+) estimate","2006","UNAIDS_Spectrum Estimates_","Number","9999",""
"Angola","Adults (15+) estimate","2005","UNAIDS_Spectrum Estimates_","Number","9662",""
"Angola","Adults (15+) estimate","2004","UNAIDS_Spectrum Estimates_","Number","9090",""
"Angola","Adults (15+) estimate","2003","UNAIDS_Spectrum Estimates_","Number","8371",""
"Angola","Adults (15+) estimate","2002","UNAIDS_Spectrum Estimates_","Number","7621",""
"Angola","Adults (15+) estimate","2001","UNAIDS_Spectrum Estimates_","Number","6874",""
"Angola","Adults (15+) estimate","2000","UNAIDS_Spectrum Estimates_","Number","6135",""
"Angola","Adults (15+) estimate","1999","UNAIDS_Spectrum Estimates_","Number","5415",""
"Angola","Adults (15+) estimate","1998","UNAIDS_Spectrum Estimates_","Number","4717",""
"Angola","Adults (15+) estimate","1997","UNAIDS_Spectrum Estimates_","Number","4052",""
"Angola","Adults (15+) estimate","1996","UNAIDS_Spectrum Estimates_","Number","3424",""
"Angola","Adults (15+) estimate","1995","UNAIDS_Spectrum Estimates_","Number","2840",""
"Angola","Adults (15+) estimate","1994","UNAIDS_Spectrum Estimates_","Number","2313",""
"Angola","Adults (15+) estimate","1993","UNAIDS_Spectrum Estimates_","Number","1845",""
"Angola","Adults (15+) estimate","1992","UNAIDS_Spectrum Estimates_","Number","1442",""
"Angola","Adults (15+) estimate","1991","UNAIDS_Spectrum Estimates_","Number","1105",""
"Angola","Adults (15+) estimate","1990","UNAIDS_Spectrum Estimates_","Number","831",""
"Angola","Adults (15+) lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","7059",""
"Angola","Adults (15+) lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","6607",""
"Angola","Adults (15+) lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","6031",""
"Angola","Adults (15+) lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","5730",""
"Angola","Adults (15+) lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","5973",""
"Angola","Adults (15+) lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","6501",""
"Angola","Adults (15+) lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","7421",""
"Angola","Adults (15+) lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","7163",""
"Angola","Adults (15+) lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","6713",""
"Angola","Adults (15+) lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","6149",""
"Angola","Adults (15+) lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","5591",""
"Angola","Adults (15+) lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","4996",""
"Angola","Adults (15+) lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","4399",""
"Angola","Adults (15+) lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","3853",""
"Angola","Adults (15+) lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","3344",""
"Angola","Adults (15+) lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","2869",""
"Angola","Adults (15+) lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","2384",""
"Angola","Adults (15+) lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","1950",""
"Angola","Adults (15+) lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","1565",""
"Angola","Adults (15+) lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","1233",""
"Angola","Adults (15+) lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","955",""
"Angola","Adults (15+) lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","714",""
"Angola","Adults (15+) lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","525",""
"Angola","Adults (15+) upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","13718",""
"Angola","Adults (15+) upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","13106",""
"Angola","Adults (15+) upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","12401",""
"Angola","Adults (15+) upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","12119",""
"Angola","Adults (15+) upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","12378",""
"Angola","Adults (15+) upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","13123",""
"Angola","Adults (15+) upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","14214",""
"Angola","Adults (15+) upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","13861",""
"Angola","Adults (15+) upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","13164",""
"Angola","Adults (15+) upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","12365",""
"Angola","Adults (15+) upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","11392",""
"Angola","Adults (15+) upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","10271",""
"Angola","Adults (15+) upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","9090",""
"Angola","Adults (15+) upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","7930",""
"Angola","Adults (15+) upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","6868",""
"Angola","Adults (15+) upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","5915",""
"Angola","Adults (15+) upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","4992",""
"Angola","Adults (15+) upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","4139",""
"Angola","Adults (15+) upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","3350",""
"Angola","Adults (15+) upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","2678",""
"Angola","Adults (15+) upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","2069",""
"Angola","Adults (15+) upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","1607",""
"Angola","Adults (15+) upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","1222",""
"Angola","All ages estimate","2012","UNAIDS_Spectrum Estimates_","Number","12553",""
"Angola","All ages estimate","2011","UNAIDS_Spectrum Estimates_","Number","11883",""
"Angola","All ages estimate","2010","UNAIDS_Spectrum Estimates_","Number","11095",""
"Angola","All ages estimate","2009","UNAIDS_Spectrum Estimates_","Number","10726",""
"Angola","All ages estimate","2008","UNAIDS_Spectrum Estimates_","Number","10899",""
"Angola","All ages estimate","2007","UNAIDS_Spectrum Estimates_","Number","11315",""
"Angola","All ages estimate","2006","UNAIDS_Spectrum Estimates_","Number","12152",""
"Angola","All ages estimate","2005","UNAIDS_Spectrum Estimates_","Number","11770",""
"Angola","All ages estimate","2004","UNAIDS_Spectrum Estimates_","Number","11081",""
"Angola","All ages estimate","2003","UNAIDS_Spectrum Estimates_","Number","10226",""
"Angola","All ages estimate","2002","UNAIDS_Spectrum Estimates_","Number","9327",""
"Angola","All ages estimate","2001","UNAIDS_Spectrum Estimates_","Number","8431",""
"Angola","All ages estimate","2000","UNAIDS_Spectrum Estimates_","Number","7547",""
"Angola","All ages estimate","1999","UNAIDS_Spectrum Estimates_","Number","6685",""
"Angola","All ages estimate","1998","UNAIDS_Spectrum Estimates_","Number","5851",""
"Angola","All ages estimate","1997","UNAIDS_Spectrum Estimates_","Number","5053",""
"Angola","All ages estimate","1996","UNAIDS_Spectrum Estimates_","Number","4298",""
"Angola","All ages estimate","1995","UNAIDS_Spectrum Estimates_","Number","3589",""
"Angola","All ages estimate","1994","UNAIDS_Spectrum Estimates_","Number","2943",""
"Angola","All ages estimate","1993","UNAIDS_Spectrum Estimates_","Number","2366",""
"Angola","All ages estimate","1992","UNAIDS_Spectrum Estimates_","Number","1864",""
"Angola","All ages estimate","1991","UNAIDS_Spectrum Estimates_","Number","1440",""
"Angola","All ages estimate","1990","UNAIDS_Spectrum Estimates_","Number","1091",""
"Angola","All ages lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","9228",""
"Angola","All ages lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","8560",""
"Angola","All ages lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","7839",""
"Angola","All ages lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","7500",""
"Angola","All ages lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","7732",""
